"edge_class","mean_delta","mean_abs","n","replicate","scenario","generation"
"interior",-0.00416097394109502,0.0426458067437272,93,37,"Rate-conserved",2004
"all",-0.00416097394109502,0.0426458067437272,93,37,"Rate-conserved",2004
"interior",0.00271046107565428,0.0289469115055294,110,38,"Rate-conserved",2004
"all",0.00271046107565428,0.0289469115055294,110,38,"Rate-conserved",2004
"interior",-0.00366575948672995,0.0282849522314421,110,39,"Rate-conserved",2004
"all",-0.00366575948672995,0.0282849522314421,110,39,"Rate-conserved",2004
"interior",0.00863454647814309,0.0329281346837693,98,40,"Rate-conserved",2004
"all",0.00863454647814309,0.0329281346837693,98,40,"Rate-conserved",2004
"interior",0.00458414320747438,0.0281748698550154,115,41,"Rate-conserved",2004
"all",0.00458414320747438,0.0281748698550154,115,41,"Rate-conserved",2004
"interior",-0.00859841623684226,0.0197800583058632,127,42,"Rate-conserved",2004
"all",-0.00859841623684226,0.0197800583058632,127,42,"Rate-conserved",2004
"interior",0.00228047313519577,0.0246849233055897,90,43,"Rate-conserved",2004
"all",0.00228047313519577,0.0246849233055897,90,43,"Rate-conserved",2004
"interior",0.00617329179500566,0.0236306725115396,113,44,"Rate-conserved",2004
"all",0.00617329179500566,0.0236306725115396,113,44,"Rate-conserved",2004
"interior",0.00406306615436727,0.0338599470967075,87,45,"Rate-conserved",2004
"all",0.00406306615436727,0.0338599470967075,87,45,"Rate-conserved",2004
"interior",0.00424051272406231,0.0377778599904806,86,46,"Rate-conserved",2004
"all",0.00424051272406231,0.0377778599904806,86,46,"Rate-conserved",2004
"interior",0.000325578889336835,0.0341723962599995,106,47,"Rate-conserved",2004
"all",0.000325578889336835,0.0341723962599995,106,47,"Rate-conserved",2004
"interior",0.0118319889771189,0.0257793010563464,125,48,"Rate-conserved",2004
"all",0.0118319889771189,0.0257793010563464,125,48,"Rate-conserved",2004
"interior",0.00660029722443939,0.0391077985213181,103,49,"Rate-conserved",2004
"all",0.00660029722443939,0.0391077985213181,103,49,"Rate-conserved",2004
"interior",0.00433191208040506,0.0377251307651591,98,50,"Rate-conserved",2004
"all",0.00433191208040506,0.0377251307651591,98,50,"Rate-conserved",2004
"interior",0.00255846165901412,0.0289184099218879,96,1,"Isotropic",2054
"all",0.00255846165901412,0.0289184099218879,96,1,"Isotropic",2054
"interior",0.0116194820391053,0.0413937350975597,82,2,"Isotropic",2054
"all",0.0116194820391053,0.0413937350975597,82,2,"Isotropic",2054
"interior",0.000241545450723438,0.0464892987625349,71,3,"Isotropic",2054
"all",0.000241545450723438,0.0464892987625349,71,3,"Isotropic",2054
"interior",0.00722644002356508,0.029808584137742,113,4,"Isotropic",2054
"all",0.00722644002356508,0.029808584137742,113,4,"Isotropic",2054
"interior",0.000274905268292104,0.0387663767810594,84,5,"Isotropic",2054
"all",0.000274905268292104,0.0387663767810594,84,5,"Isotropic",2054
"interior",-0.00343146489039165,0.0310661872513642,96,6,"Isotropic",2054
"all",-0.00343146489039165,0.0310661872513642,96,6,"Isotropic",2054
"interior",-0.00239705403771525,0.0434737978023298,92,7,"Isotropic",2054
"all",-0.00239705403771525,0.0434737978023298,92,7,"Isotropic",2054
"interior",0.00205683660833948,0.056808352066316,74,8,"Isotropic",2054
"all",0.00205683660833948,0.056808352066316,74,8,"Isotropic",2054
"interior",-0.00664906465394307,0.0348276801310511,75,9,"Isotropic",2054
"all",-0.00664906465394307,0.0348276801310511,75,9,"Isotropic",2054
"interior",-0.0164921983276984,0.040956861536358,74,10,"Isotropic",2054
"all",-0.0164921983276984,0.040956861536358,74,10,"Isotropic",2054
"interior",0.00521477074195035,0.0398329594802528,95,11,"Isotropic",2054
"all",0.00521477074195035,0.0398329594802528,95,11,"Isotropic",2054
"interior",0.00323157663056398,0.0346964582305897,102,12,"Isotropic",2054
"all",0.00323157663056398,0.0346964582305897,102,12,"Isotropic",2054
"interior",-0.000377296352143486,0.0329442817107641,79,13,"Isotropic",2054
"all",-0.000377296352143486,0.0329442817107641,79,13,"Isotropic",2054
"interior",0.00991158000195553,0.0266444553389043,98,14,"Isotropic",2054
"all",0.00991158000195553,0.0266444553389043,98,14,"Isotropic",2054
"interior",-0.00525555684144325,0.0380639830832088,80,15,"Isotropic",2054
"all",-0.00525555684144325,0.0380639830832088,80,15,"Isotropic",2054
"interior",0.00379369435982701,0.0309242662159377,87,16,"Isotropic",2054
"all",0.00379369435982701,0.0309242662159377,87,16,"Isotropic",2054
"interior",0.00100391204165217,0.0372860240790851,99,17,"Isotropic",2054
"all",0.00100391204165217,0.0372860240790851,99,17,"Isotropic",2054
"interior",-0.0101512559084195,0.0437714311279905,84,18,"Isotropic",2054
"all",-0.0101512559084195,0.0437714311279905,84,18,"Isotropic",2054
"interior",0.00555252546059069,0.0338629884361995,100,19,"Isotropic",2054
"all",0.00555252546059069,0.0338629884361995,100,19,"Isotropic",2054
"interior",-0.00810261319215274,0.0350641906757517,91,20,"Isotropic",2054
"all",-0.00810261319215274,0.0350641906757517,91,20,"Isotropic",2054
"interior",-0.0113914988023996,0.0458124109272146,65,21,"Isotropic",2054
"all",-0.0113914988023996,0.0458124109272146,65,21,"Isotropic",2054
"interior",-0.00377170465369595,0.028906611321156,97,22,"Isotropic",2054
"all",-0.00377170465369595,0.028906611321156,97,22,"Isotropic",2054
"interior",-0.00838762852634842,0.0367868739861832,92,23,"Isotropic",2054
"all",-0.00838762852634842,0.0367868739861832,92,23,"Isotropic",2054
"interior",0.0128753845492773,0.0274015872848153,90,24,"Isotropic",2054
"all",0.0128753845492773,0.0274015872848153,90,24,"Isotropic",2054
"interior",-0.00158627853039887,0.0287240552940966,104,25,"Isotropic",2054
"all",-0.00158627853039887,0.0287240552940966,104,25,"Isotropic",2054
"interior",0.0029081175735819,0.027149146717455,104,26,"Isotropic",2054
"all",0.0029081175735819,0.027149146717455,104,26,"Isotropic",2054
"interior",0.00427459190226487,0.053849648490282,70,27,"Isotropic",2054
"all",0.00427459190226487,0.053849648490282,70,27,"Isotropic",2054
"interior",-0.000121061656687947,0.036332196127134,88,28,"Isotropic",2054
"all",-0.000121061656687947,0.036332196127134,88,28,"Isotropic",2054
"interior",-0.00119737405082488,0.0265852246443593,108,29,"Isotropic",2054
"all",-0.00119737405082488,0.0265852246443593,108,29,"Isotropic",2054
"interior",0.00365449187114276,0.026259415674297,97,30,"Isotropic",2054
"all",0.00365449187114276,0.026259415674297,97,30,"Isotropic",2054
"interior",0.00605118324250661,0.028026190876811,102,31,"Isotropic",2054
"all",0.00605118324250661,0.028026190876811,102,31,"Isotropic",2054
"interior",0.0174326032657577,0.0354041074677119,93,32,"Isotropic",2054
"all",0.0174326032657577,0.0354041074677119,93,32,"Isotropic",2054
"interior",-0.000439637033013751,0.0298080372995767,95,33,"Isotropic",2054
"all",-0.000439637033013751,0.0298080372995767,95,33,"Isotropic",2054
"interior",0.00124978790381459,0.0253145907647078,96,34,"Isotropic",2054
"all",0.00124978790381459,0.0253145907647078,96,34,"Isotropic",2054
"interior",0.00183680860849987,0.0328208562263805,93,35,"Isotropic",2054
"all",0.00183680860849987,0.0328208562263805,93,35,"Isotropic",2054
"interior",0.00432360881255831,0.0320422687892144,91,36,"Isotropic",2054
"all",0.00432360881255831,0.0320422687892144,91,36,"Isotropic",2054
"interior",-0.00407647833851297,0.0429488622055197,94,37,"Isotropic",2054
"all",-0.00407647833851297,0.0429488622055197,94,37,"Isotropic",2054
