"alpha","fpr","fpr_int","fpr_bw","n_edges","n_edges_int","mean_cGD","median_cGD","cond","replicate","generation"
0.01,0,0,0,113,113,9.33598653993343,9.87696451517608,6,4,2669
0.05,0,0,0.00884955752212389,113,113,9.33598653993343,9.87696451517608,6,4,2669
0.1,0,0,0.00884955752212389,113,113,9.33598653993343,9.87696451517608,6,4,2669
0.01,0.0588235294117647,0.0588235294117647,0,85,85,10.2699066468002,8.59416773453391,6,4,2999
0.05,0.105882352941176,0.105882352941176,0.0235294117647059,85,85,10.2699066468002,8.59416773453391,6,4,2999
0.1,0.152941176470588,0.152941176470588,0.0705882352941176,85,85,10.2699066468002,8.59416773453391,6,4,2999
0.01,0.0103092783505155,0.0103092783505155,0,97,97,4.92790833535363,4.45279815125326,6,5,2004
0.05,0.0309278350515464,0.0309278350515464,0,97,97,4.92790833535363,4.45279815125326,6,5,2004
0.1,0.0515463917525773,0.0515463917525773,0.0103092783505155,97,97,4.92790833535363,4.45279815125326,6,5,2004
0.01,0.0288461538461538,0.0288461538461538,0,104,104,10.3496650519761,8.90009071289473,6,5,2334
0.05,0.0769230769230769,0.0769230769230769,0.0288461538461538,104,104,10.3496650519761,8.90009071289473,6,5,2334
0.1,0.153846153846154,0.153846153846154,0.0480769230769231,104,104,10.3496650519761,8.90009071289473,6,5,2334
0.01,0.0277777777777778,0.0277777777777778,0.00925925925925926,108,108,10.7117790229598,10.298085765754,6,5,2669
0.05,0.0925925925925926,0.0925925925925926,0.00925925925925926,108,108,10.7117790229598,10.298085765754,6,5,2669
0.1,0.157407407407407,0.157407407407407,0.037037037037037,108,108,10.7117790229598,10.298085765754,6,5,2669
0.01,0.0297029702970297,0.0297029702970297,0.0099009900990099,101,101,10.6778470511594,9.92655256758677,6,5,2999
0.05,0.0495049504950495,0.0495049504950495,0.0099009900990099,101,101,10.6778470511594,9.92655256758677,6,5,2999
