"replicate","phase","generation","n_edges","diameter","mean_delta","mean_abs_delta"
1,"burnin",579,127,12.2616498728606,0.0042379848764153,0.0201741871938779
1,"burnin",584,146,11.5878096548847,0.00487945857529506,0.0162158008038583
1,"burnin",589,119,13.1193927905419,0.00370008022780949,0.0224506212877592
1,"burnin",594,124,12.6250719168194,0.00539770503822673,0.026237997858057
1,"burnin",599,114,12.4898800391492,0.000849019197020199,0.0205556426272809
1,"burnin",604,122,12.8437986079955,0.00158340589635556,0.0222290077416001
1,"burnin",609,115,12.5221162771248,0.00342757528626074,0.0235702162772791
1,"burnin",614,131,11.4198063663593,0.00308957739524821,0.0200494478315039
1,"burnin",619,135,11.169222224226,-0.00151532210314021,0.0203389012556241
1,"burnin",624,111,13.0311914085455,0.0025337661390477,0.0208023993987526
1,"burnin",629,116,13.785012984372,-0.00193321186944186,0.0243602928142316
1,"burnin",634,125,13.1791435672936,0.00184206241319772,0.0230502905000614
1,"burnin",639,120,12.0859179579144,0.000802766859382857,0.0169628452699834
1,"burnin",644,112,11.4142042781186,0.00134730374734116,0.0277646357615205
1,"burnin",649,136,11.6075581868709,0.00513226613736075,0.0237243429357979
1,"burnin",654,134,10.9897273414184,-0.00108998392687104,0.0250633845132858
1,"burnin",659,125,11.6539763516631,0.00321299457535897,0.0246951885335124
1,"burnin",664,128,11.5094602298628,-0.00250816623100006,0.022104495533479
1,"burnin",669,122,10.4343794238335,0.00240077890006329,0.0190983453661382
1,"burnin",674,123,10.6415400602724,0.00455321412406433,0.0214916050594967
1,"burnin",679,121,11.8058049634315,0.00588601581480515,0.0270681707958616
1,"burnin",684,121,12.009606926641,-0.00120545675250628,0.0252304331838937
1,"burnin",689,137,11.2653133023729,-0.00453048870269721,0.0249042310078484
1,"burnin",694,129,10.4973063943014,-0.00181283529152629,0.0234417073074984
1,"burnin",699,138,11.6918843961521,0.000516839700644692,0.0181182199994909
1,"burnin",704,119,12.0423415139048,-0.000361770727770562,0.0279320329397244
1,"burnin",709,130,11.1263345579532,0.00586116572306533,0.0274515829991864
1,"burnin",714,122,12.0008864386232,-0.0013315042419491,0.0241912235150866
1,"burnin",719,133,11.1773017458041,-0.000475186910599996,0.0217470244539507
1,"burnin",724,120,12.4232688906395,0.00359210081611022,0.0225376131676988
1,"burnin",729,116,12.4933806172401,-0.000509336176045374,0.0220728196745647
1,"burnin",734,113,11.2063184567766,-0.00671250243829842,0.0268920419808392
1,"burnin",739,124,11.4277312612041,-0.00378809187628004,0.0241039248709384
1,"burnin",744,123,11.8745142878915,-0.0063712585076224,0.0265360489606409
1,"burnin",749,124,12.3042438078681,-0.00516975916618372,0.0237593126577919
1,"burnin",754,115,12.6634210480096,-0.00268008198466547,0.0259730589962472
1,"burnin",759,105,12.6608635601793,-0.00132938474597138,0.0258120521862807
1,"burnin",764,111,12.8250476000906,-0.00778149923829693,0.0297977465861825
1,"burnin",769,116,12.1976278475867,-0.00565418989448072,0.0188187841259142
1,"burnin",774,118,12.6332282411173,-0.00312401150570919,0.0228618884439518
1,"burnin",779,110,12.4157967172584,0.00108306891250055,0.0273313848063119
1,"burnin",784,113,12.6116473716545,0.00262629969444701,0.0225419751080317
1,"burnin",789,107,13.804938436519,-0.00194286685865119,0.0256994368625718
1,"burnin",794,114,13.470973508959,0.00378071667768609,0.0247297166220018
