"replicate","scenario","generation","method","Excluded","Exclusion","rho_all","rmse_all","mae_all","rho_corr","rmse_corr","mae_corr","auc_corr"
1,"Isotropic",2069,"gravity",FALSE,"",0.529605986554401,0.257950946108627,0.146786960778725,NA,0.344444436711026,0.325955890598589,0.979959239130435
1,"Isotropic",2074,"divMigrate",FALSE,"",0.449464072496709,0.206489678511018,0.109645904725665,NA,0.671477157024668,0.636334276059097,0.978260869565217
1,"Isotropic",2074,"gravity",FALSE,"",0.522056977324792,0.270855386770918,0.153779178171437,NA,0.320155252721868,0.299417521170244,0.974486714975845
1,"Isotropic",2079,"divMigrate",FALSE,"",0.450670020923547,0.205926974533262,0.114815815897592,NA,0.655009761072212,0.621931853758199,0.979544082125604
1,"Isotropic",2079,"gravity",FALSE,"",0.507741497251823,0.296899953394652,0.178468610429114,NA,0.272745303075523,0.248221922824312,0.979468599033816
1,"Isotropic",2084,"divMigrate",FALSE,"",0.450563613709414,0.201620178120166,0.121525869101026,NA,0.597350034150189,0.568985824734786,0.979430857487923
1,"Isotropic",2084,"gravity",FALSE,"",0.523208262465119,0.288201634389973,0.162257123677159,NA,0.262395093562059,0.240846836107334,0.978223128019324
1,"Isotropic",2089,"divMigrate",FALSE,"",0.437085366585933,0.220966545212365,0.109968202872851,NA,0.72429687928691,0.70107656728415,0.965089070048309
1,"Isotropic",2089,"gravity",FALSE,"",0.492831844428475,0.285185637466217,0.161386843734143,NA,0.359734859456353,0.309154545298464,0.949199879227053
1,"Isotropic",2094,"divMigrate",FALSE,"",0.451237526065588,0.215111481567426,0.102981429718281,NA,0.7169631907692,0.692778116303961,0.980147946859903
1,"Isotropic",2094,"gravity",FALSE,"",0.529448493548449,0.269807107839808,0.151147229410809,NA,0.283199937324977,0.262469996699878,0.981204710144927
1,"Isotropic",2099,"divMigrate",FALSE,"",0.446945768428901,0.221124288518742,0.0966140442407758,NA,0.752251007108584,0.718054977124678,0.975581219806763
1,"Isotropic",2099,"gravity",FALSE,"",0.536684265038409,0.245753594077198,0.135350489660399,NA,0.352043278014523,0.331989827256692,0.979053442028985
1,"Isotropic",2104,"divMigrate",FALSE,"",0.449535010639464,0.200851561117768,0.11383819377546,NA,0.592525783450946,0.557645945420291,0.978336352657005
1,"Isotropic",2104,"gravity",FALSE,"",0.534432287098635,0.264211515333496,0.129795522771349,NA,0.316509078600066,0.254937556566454,0.953879830917874
1,"Isotropic",2109,"divMigrate",FALSE,"",0.456203196058449,0.214409496650053,0.0957773754213198,NA,0.728961855310391,0.700609643108501,0.985431763285024
1,"Isotropic",2109,"gravity",FALSE,"",0.558539126195117,0.241362940075147,0.125070796374548,NA,0.315818786345367,0.293602944535438,0.98173309178744
1,"Isotropic",2114,"divMigrate",FALSE,"",0.454819902274724,0.213462068567972,0.0949223420611584,NA,0.727585833185105,0.707003183950289,0.983959842995169
1,"Isotropic",2114,"gravity",FALSE,"",0.556521264177907,0.24772826834358,0.127791319247937,NA,0.288451856185748,0.261750651809043,0.981770833333333
1,"Isotropic",2119,"divMigrate",FALSE,"",0.461346211408199,0.202340655594157,0.102434458473187,NA,0.66720557617501,0.643278277371568,0.990904287439614
